schid,school_name,level,gleaid,gleaname,maname,fips,lon,lat,charter,private,magnet,tps,population_school,minority_school,radius_nbrsch,count_nbrsch,population_nbrsch,minority_nbrsch,SCI_sys,glea_seg,urban,suburban,townrural
00331462,Sandpoint Jr Academy,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.57949,48.272619,0,1,0,0,6,0,1,4,733,41,.0186335,.16965227,0,0,1
160000200082,Clark Fork Jr/Sr High School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.17556,48.146845,0,0,0,1,39,1,8,1,57,2,.0613354,.16965227,0,0,1
160000200603,Kootenai Elementary School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.51727,48.312017,0,0,0,1,53,3,3,1,77,3,.0147516,.16965227,0,0,1
160000200614,Hope Elementary School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.26387,48.217001,0,0,0,1,18,1,8,1,57,2,.003882,.16965227,0,0,1
160000200615,Farmin Stidwell Elementary School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.572,48.282789,0,0,0,1,54,4,1,3,592,36,.0714286,.16965227,0,0,1
160000200616,Southside Elementary School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.61574,48.103006,0,0,0,1,18,1,9,1,59,3,.003882,.16965227,0,0,1
160000200617,Washington Elementary School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.55776,48.26805,0,0,0,1,47,3,1,2,684,40,.0333851,.16965227,0,0,1
160000200618,Sagle Elementary School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.55377,48.202586,0,0,0,1,41,2,5,3,725,42,.007764,.16965227,0,0,1
160000200621,Northside Elementary School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.43909,48.364585,0,0,0,1,28,0,7,1,81,3,.0869565,.16965227,0,0,1
160000200724,Sandpoint Middle School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.56927,48.2701,0,0,0,1,496,32,1,5,780,44,.3726708,.16965227,0,0,1
