schid,school_name,level,gleaid,gleaname,maname,fips,lon,lat,charter,private,magnet,tps,population_school,minority_school,radius_nbrsch,count_nbrsch,population_nbrsch,minority_nbrsch,SCI_sys,glea_seg,urban,suburban,townrural
160016500772,Forrest M Bird Charter School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.57111,48.26418,1,0,0,0,141,5,1,4,726,40,.1389752,.16965227,0,0,1
A9501601,Sandpoint Waldorf School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.57716,48.27261,0,1,0,0,36,0,1,4,733,41,.1118012,.16965227,0,0,1
A9701367,Sandpoint Christian School,2,1600002,LAKE PEND OREILLE SCHOOL DISTRICT,,16,-116.54717,48.322027,0,1,0,0,24,0,3,1,77,3,.0745342,.16965227,0,0,1
180159000222,James R Watson Elementary School,1,1801590,DeKalb Co Ctl United Sch Dist,,18,-85.043367,41.372054,0,0,0,1,582,38,2,1,1113,60,.4244612,.11847889,0,0,1
180159000225,Mckenney-Harrison Elementary Sch,1,1801590,DeKalb Co Ctl United Sch Dist,,18,-85.060572,41.363501,0,0,0,1,531,22,2,1,1113,60,.2246404,.11847889,0,0,1
180159000226,Waterloo Elementary School,1,1801590,DeKalb Co Ctl United Sch Dist,,18,-85.016325,41.429349,0,0,0,1,188,11,5,1,770,49,.0755388,.11847889,0,0,1
180159000847,Country Meadow Elementary School,1,1801590,DeKalb Co Ctl United Sch Dist,,18,-85.078799,41.488874,0,0,0,1,261,9,6,1,449,20,.1980028,.11847889,0,0,1
A9300373,Lakewood Park Christian School,1,1801590,DeKalb Co Ctl United Sch Dist,,18,-85.045851,41.33322,0,1,0,0,271,12,3,2,1384,72,.0773568,.11847889,0,0,1
00422248,St Philip School,1,1807290,M S D Mount Vernon,Evansville IN-KY,18,-87.716001,37.98636,0,1,0,0,107,1,4,1,802,29,.0840385,.5083089,0,0,1
00422259,St Matthew Elementary School,1,1807290,M S D Mount Vernon,Evansville IN-KY,18,-87.893595,37.933153,0,1,0,0,73,2,2,1,435,47,.0325,.5083089,0,0,1
180729001223,Farmersville Elementary School,1,1807290,M S D Mount Vernon,Evansville IN-KY,18,-87.897284,37.979267,0,0,0,1,238,5,4,2,673,52,.1346154,.5083089,0,0,1
180729001225,Marrs Elementary School,1,1807290,M S D Mount Vernon,Evansville IN-KY,18,-87.752432,37.941028,0,0,0,1,298,2,5,1,405,3,.2488462,.5083089,0,0,1
180729001228,West Elementary School,1,1807290,M S D Mount Vernon,Evansville IN-KY,18,-87.908036,37.930137,0,0,0,1,362,45,2,1,435,47,.5,.5083089,0,0,1
00515166,St Agnes School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.537671,39.063813,0,1,0,0,129,3,1,1,151,3,.0425083,.25978549,0,1,0
00515202,St Cecilia Elementary School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.545341,38.939964,0,1,0,0,75,0,2,1,782,41,.0395046,.25978549,0,1,0
00515483,St Anthony Elementary School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.503636,39.03371,0,1,0,0,13,1,2,2,773,346,.0016324,.25978549,0,1,0
00515632,St Pius X Elementary School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.568346,39.010703,0,1,0,0,197,1,1,1,1318,124,.0952856,.25978549,0,1,0
00515676,St Joseph School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.581211,39.05333,0,1,0,0,84,1,2,3,602,27,.0357653,.25978549,0,1,0
00515734,Notre Dame Academy,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.532213,39.061911,0,1,0,0,22,0,1,1,151,3,.011588,.25978549,0,1,0
210309000820,Turkey Foot Middle School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.581152,39.011814,0,0,0,1,1121,123,1,1,1318,124,.452564,.25978549,0,1,0
210309000821,Twenhofel Middle School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.524228,38.9158,0,0,0,1,786,21,1,1,830,22,.2359307,.25978549,0,0,1
210309001588,Woodland Middle School,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.508536,38.995765,0,0,0,1,714,49,2,1,718,50,.0394306,.25978549,0,1,0
210309002420,Summit View Academy,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.539241,38.95677,0,0,0,1,707,41,2,1,782,41,.0247214,.25978549,0,1,0
A9102842,Community Christian Academy,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.527711,38.9092,0,1,0,0,44,1,1,1,830,22,.0146962,.25978549,0,0,1
AA000362,Taylor Mill Christian Academy,2,2103090,Kenton County,Cincinnati-Middletown OH-KY-IN,21,-84.498271,39.01493,0,1,0,0,4,1,2,2,731,51,.006373,.25978549,0,1,0
00517287,Saline Christian Academy,1,2104950,Pulaski County,,21,-84.661238,37.086484,0,1,0,0,15,0,2,1,530,31,.0118785,.174129,0,0,1
210495000779,Oak Hill Elementary School,1,2104950,Pulaski County,,21,-84.658571,37.061659,0,0,0,1,515,31,2,2,662,34,.0755572,.174129,0,0,1
210495001225,Burnside Elementary School,1,2104950,Pulaski County,,21,-84.59836,36.994372,0,0,0,1,428,13,3,1,445,13,.1362234,.174129,0,0,1
210495001227,Eubank Elementary School,1,2104950,Pulaski County,,21,-84.648863,37.275534,0,0,0,1,333,19,5,1,593,28,.0325659,.174129,0,0,1
210495001231,Nancy Elementary School,1,2104950,Pulaski County,,21,-84.755337,37.072704,0,0,0,1,347,5,7,2,877,36,.1968242,.174129,0,0,1
210495001234,Pulaski Elementary School,1,2104950,Pulaski County,,21,-84.616849,37.107502,0,0,0,1,629,36,2,2,1326,122,.063246,.174129,0,0,1
210495001235,Shopville Elementary School,1,2104950,Pulaski County,,21,-84.486391,37.159244,0,0,0,1,338,12,6,1,736,32,.0805454,.174129,0,0,1
210495001238,Northern Elementary School,1,2104950,Pulaski County,,21,-84.559217,37.176826,0,0,0,1,398,20,5,1,642,30,.0033146,.174129,0,0,1
210495001464,Southern Elementary School,1,2104950,Pulaski County,,21,-84.621299,37.036473,0,0,0,1,668,55,2,1,800,58,.3286309,.174129,0,0,1
A0501694,Jordan Christian Academy,1,2104950,Pulaski County,,21,-84.56061,36.99177,0,1,0,0,17,0,3,1,445,13,.0134623,.174129,0,0,1
A9701636,Somerset Christian School,1,2104950,Pulaski County,,21,-84.630472,37.057143,0,1,0,0,132,3,2,2,1315,89,.0577517,.174129,0,0,1
00517287,Saline Christian Academy,2,2104950,Pulaski County,,21,-84.661238,37.086484,0,1,0,0,8,0,3,1,79,2,.024231,.08715822,0,0,1
210495001572,Southern Middle School,2,2104950,Pulaski County,,21,-84.620413,37.03372,0,0,0,1,1037,62,2,1,1108,64,.5,.08715822,0,0,1
210495001573,Northern Middle School,2,2104950,Pulaski County,,21,-84.603277,37.115653,0,0,0,1,872,39,2,1,1230,78,.3509087,.08715822,0,0,1
A0501694,Jordan Christian Academy,2,2104950,Pulaski County,,21,-84.56061,36.99177,0,1,0,0,9,0,6,1,1046,62,.0272599,.08715822,0,0,1
A9701636,Somerset Christian School,2,2104950,Pulaski County,,21,-84.630472,37.057143,0,1,0,0,71,2,2,1,1108,64,.0976004,.08715822,0,0,1
00564282,Bangor Christian Schools,1,2302820,Bangor Public Schools,Bangor ME,23,-68.800751,44.84554,0,1,0,0,118,4,2,2,455,25,.1021719,.11782728,0,0,1
02029695,Penobscot Christian School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.821991,44.83453,0,1,0,0,57,2,1,1,337,21,.0461915,.11782728,1,0,0
230282000046,Abraham Lincoln School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.762442,44.806342,0,0,0,1,184,9,1,2,563,28,.0304374,.11782728,1,0,0
230282000049,Downeast School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.82033,44.839412,0,0,0,1,280,19,1,1,337,21,.2011319,.11782728,1,0,0
230282000050,Fairmount School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.79111,44.802348,0,0,0,1,289,16,1,2,553,32,.0391557,.11782728,1,0,0
230282000053,Fruit Street School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.757119,44.813762,0,0,0,1,278,18,1,2,563,28,.159376,.11782728,1,0,0
230282000058,Vine Street School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.785656,44.795628,0,0,0,1,149,9,1,2,553,32,.0552157,.11782728,1,0,0
230282001004,Mary Snow School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.772693,44.817205,0,0,0,1,259,11,2,6,1375,71,.1206791,.11782728,1,0,0
230282001005,Fourteenth Street School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.793232,44.803381,0,0,0,1,115,7,1,2,553,32,.0451208,.11782728,1,0,0
A0701084,All Saints Catholic School,1,2302820,Bangor Public Schools,Bangor ME,23,-68.763881,44.80459,0,1,0,0,101,1,1,2,563,28,.20052,.11782728,1,0,0
00564282,Bangor Christian Schools,2,2302820,Bangor Public Schools,Bangor ME,23,-68.800751,44.84554,0,1,0,0,48,2,2,1,66,3,.109215,.07256217,0,0,1
02029695,Penobscot Christian School,2,2302820,Bangor Public Schools,Bangor ME,23,-68.821991,44.83453,0,1,0,0,18,1,2,1,66,3,.0076792,.07256217,1,0,0
02030146,John Bapst Memorial High School,2,2302820,Bangor Public Schools,Bangor ME,23,-68.768431,44.80532,0,1,0,0,1,0,1,1,66,1,.0078214,.07256217,1,0,0
230282000051,James F. Doughty School,2,2302820,Bangor Public Schools,Bangor ME,23,-68.783817,44.797516,0,0,0,1,368,25,2,3,753,40,.4493743,.07256217,1,0,0
230282000054,William S. Cohen School,2,2302820,Bangor Public Schools,Bangor ME,23,-68.754452,44.811609,0,0,0,1,436,26,1,1,501,27,.0506257,.07256217,1,0,0
A0701084,All Saints Catholic School,2,2302820,Bangor Public Schools,Bangor ME,23,-68.763881,44.80459,0,1,0,0,65,1,1,2,502,27,.3752844,.07256217,1,0,0
00643824,Hudsonville Christian School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.866741,42.87328,0,1,0,0,541,25,1,1,947,50,.0424949,.17386371,0,1,0
261884001907,Georgetown Elementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.880116,42.908433,0,0,0,1,564,22,2,2,1417,64,.1018795,.17386371,0,0,1
261884005559,Alward Elementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.87551,42.886295,0,0,0,1,475,19,2,5,2758,116,.0791189,.17386371,0,1,0
261884005560,Bauer Elementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.901607,42.916091,0,0,0,1,378,23,2,1,942,45,.048712,.17386371,0,1,0
261884005561,Forest Grove Elementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.862229,42.797477,0,0,0,1,316,29,3,2,999,75,.1792163,.17386371,0,0,1
261884005564,Park Elemementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.876821,42.869525,0,0,0,1,406,25,1,2,1342,75,.0565194,.17386371,0,1,0
261884005565,Jamestown Upper Elementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.846485,42.828195,0,0,0,1,322,25,1,1,683,46,.1181283,.17386371,0,1,0
261884005566,South Elementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.87921,42.857634,0,0,0,1,395,25,1,1,801,50,.0645872,.17386371,0,1,0
261884008782,Jamestown Lower Elementary School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.844801,42.8317,0,0,1,0,361,21,1,1,683,46,.0328368,.17386371,0,1,0
A9103492,Heritage Christian School,1,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.847031,42.88348,0,1,0,0,377,0,2,5,2635,157,.2765066,.17386371,0,1,0
00643824,Hudsonville Christian School,2,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.866741,42.87328,0,1,0,0,271,12,2,1,434,12,.1174533,.11224756,0,1,0
261884000700,Baldwin Street Middle School,2,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.879265,42.910435,0,0,0,1,924,56,3,5,1596,77,.2513995,.11224756,0,0,1
261884001250,Riley Street Middle School,2,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.850102,42.827743,0,0,0,1,649,41,4,2,1083,53,.2486005,.11224756,0,1,0
A9103492,Heritage Christian School,2,2618840,Hudsonville Public School District,Holland-Grand Haven MI,26,-85.847031,42.88348,0,1,0,0,163,0,2,4,671,33,.3825467,.11224756,0,1,0
00637366,St Charles Borromeo Catholic Academy,1,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.290281,41.996241,0,1,0,0,114,1,1,1,437,12,.0962585,.39772727,0,1,0
260031101760,Triumph Academy,1,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.362063,41.953706,1,0,0,0,513,51,2,1,551,52,.5,.39772727,0,0,1
261980005635,Sodt Elementary School,1,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.32055,41.945986,0,0,0,1,235,1,1,1,348,3,.2197279,.39772727,0,0,1
261980005637,Jefferson Middle School,1,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.312377,41.954041,0,0,0,1,113,2,1,1,348,3,.0751701,.39772727,0,1,0
261980007740,North Elementary School,1,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.278685,41.998697,0,0,0,1,323,11,1,1,437,12,.1088435,.39772727,0,0,1
00637366,St Charles Borromeo Catholic Academy,2,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.290281,41.996241,0,1,0,0,55,1,4,1,457,13,.0841432,.34589526,0,1,0
260031101760,Triumph Academy,2,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.362063,41.953706,1,0,0,0,207,23,2,1,224,24,.5,.34589526,0,0,1
261980005637,Jefferson Middle School,2,2619800,Jefferson Schools (Monroe),Monroe MI,26,-83.312377,41.954041,0,0,0,1,402,12,4,2,664,36,.4158568,.34589526,0,1,0
00636522,Bishop Kelley Catholic School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.318221,43.05193,0,1,0,0,81,3,1,1,541,17,.0226394,.2044137,0,0,1
260015100915,Chatfield School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.33859,43.047586,1,0,0,0,322,11,1,1,365,11,.1098668,.2044137,0,0,1
262118005836,Mayfield Elementary School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.319525,43.087896,0,0,0,1,413,21,3,5,1735,94,.0069556,.2044137,0,0,1
262118005837,Turrill Elementary School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.316255,43.045236,0,0,0,1,460,14,1,1,541,17,.1937372,.2044137,0,0,1
262118005838,Elva Lynch Elementary School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.279121,43.089157,0,0,1,0,378,15,3,1,791,36,.0841927,.2044137,0,0,1
262118005841,Ck Schickler Elementary School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.337532,43.062044,0,0,0,1,360,41,1,1,403,41,.4930444,.2044137,0,0,1
262118005842,Emma Murphy Elementary School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.317852,42.956882,0,0,0,1,340,15,7,4,1246,43,.043372,.2044137,0,0,1
AA890490,St Paul Lutheran School,1,2621180,Lapeer Community Schools,Detroit-Warren-Livonia MI,26,-83.341301,43.05235,0,1,0,0,43,0,1,2,725,52,.0461919,.2044137,0,0,1
00701221,St Francis Xavier Elementary School,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.876321,45.20363,0,1,0,0,125,2,2,4,1803,83,.0604357,.28194089,0,0,1
00704572,Salem Lutheran School,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.667191,45.12925,0,1,0,0,63,0,2,1,500,15,.0445122,.28194089,0,0,1
270720000283,Parkside Elementary,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.872803,45.175563,0,0,0,1,388,34,1,2,1131,64,.1998566,.28194089,0,0,1
270720000286,Hanover Elementary,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.667406,45.156434,0,0,0,1,437,15,2,1,500,15,.0996436,.28194089,0,1,0
270720000287,Montrose Elementary,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.908721,45.067972,0,0,0,1,341,36,5,1,627,41,.2609461,.28194089,0,0,1
270720001875,Tatanka Elementary,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.864837,45.181287,0,0,0,1,497,28,1,2,1131,64,.0391973,.28194089,0,0,1
270720002686,Discovery Elementary,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.873861,45.175285,0,0,0,1,246,2,1,2,1131,64,.1459274,.28194089,0,0,1
270720004186,Northwinds Elementary,1,2707200,BUFFALO-HANOVER-MONTROSE PUBLIC SCH,Minneapolis-St. Paul-Bloomington MN-WI,27,-93.891593,45.184169,0,0,0,1,547,17,2,4,1803,83,.1494812,.28194089,0,0,1
00702702,Winona Area Catholic Schools,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.622048,44.046409,0,1,0,0,56,1,1,1,76,1,.1269717,.17361156,0,0,1
00702983,Cotter Schools,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.666709,44.052862,0,1,0,0,90,3,1,2,181,7,.1398856,.17361156,0,0,1
00704211,St Johns Lutheran School,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.435346,43.904133,0,1,0,0,23,1,11,3,322,19,.0249977,.17361156,0,0,1
00704619,St Matthews Lutheran School,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.657494,44.052499,0,1,0,0,29,0,1,1,119,3,.0896135,.17361156,0,0,1
00705623,St Martin S Lutheran School,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.630031,44.04806,0,1,0,0,20,0,1,1,76,1,.0618024,.17361156,0,0,1
270022103136,Riverway Secondary,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.688458,44.052706,1,0,0,0,16,0,1,1,24,1,.0494419,.17361156,0,0,1
270022103478,Riverway Learning Community Chtr,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.688458,44.052706,1,0,0,0,8,1,1,1,24,1,.0213541,.17361156,0,0,1
270585000018,Bluffview Montessori,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.671777,44.048166,1,0,0,0,62,4,1,1,152,7,.0072872,.17361156,0,0,1
274407001830,Winona Middle,2,2744070,WINONA AREA PUBLIC SCHOOL DISTRICT,,27,-91.61148,44.021096,0,0,0,1,695,57,2,1,751,58,.4786459,.17361156,0,0,1
00791679,St Joseph School,2,3018570,Missoula Elem,Missoula MT,30,-114.00559,46.86094,0,1,0,0,71,1,1,1,727,31,.1363415,.10386037,1,0,0
02042016,Valley Christian School,2,3018570,Missoula Elem,Missoula MT,30,-114.04172,46.85811,0,1,0,0,66,4,1,1,580,39,.0322267,.10386037,1,0,0
301857000565,Porter Middle School,2,3018570,Missoula Elem,Missoula MT,30,-114.04105,46.851122,0,0,0,1,514,35,1,1,580,39,.4502271,.10386037,1,0,0
301857000575,Meadow Hill Middle School,2,3018570,Missoula Elem,Missoula MT,30,-114.03961,46.832112,0,0,0,1,506,24,1,1,509,24,.0980859,.10386037,1,0,0
301857000581,Washington Middle School,2,3018570,Missoula Elem,Missoula MT,30,-114.00696,46.850032,0,0,0,1,656,30,1,1,727,31,.1848708,.10386037,1,0,0
A0502173,Missoula Int'L School,2,3018570,Missoula Elem,Missoula MT,30,-113.9749,46.87266,0,1,0,0,52,3,3,2,779,34,.0175462,.10386037,1,0,0
A1101411,Lighthouse Baptist Academy,2,3018570,Missoula Elem,Missoula MT,30,-114.04338,46.82078,0,1,0,0,3,0,1,1,509,24,.0079485,.10386037,1,0,0
A9103914,Sussex School,2,3018570,Missoula Elem,Missoula MT,30,-114.02523,46.86827,0,1,0,0,47,1,2,4,1354,71,.0727533,.10386037,1,0,0
00810809,Aquinas Middle High School,2,3100002,DAVID CITY PUBLIC SCHOOLS,,31,-97.126761,41.24113,0,1,0,0,98,3,1,2,212,13,.4119241,.27162311,0,0,1
310000200191,David City Elementary School,2,3100002,DAVID CITY PUBLIC SCHOOLS,,31,-97.123605,41.254356,0,0,0,1,27,4,1,2,212,13,.3638211,.27162311,0,0,1
310000200192,David City Secondary School,2,3100002,DAVID CITY PUBLIC SCHOOLS,,31,-97.12495,41.253149,0,0,0,1,87,6,1,2,212,13,.1361789,.27162311,0,0,1
310000200975,Bellwood Elementary School,2,3100002,DAVID CITY PUBLIC SCHOOLS,,31,-97.242092,41.341225,0,0,0,1,10,0,9,1,19,2,.0880759,.27162311,0,0,1
317011000719,Spring Ridge Elementary,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.194854,41.245856,0,0,0,1,558,8,2,3,1920,64,.2135879,.2015948,1,0,0
317011000928,Skyline Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.244417,41.254543,0,0,0,1,524,19,2,1,1020,46,.078609,.2015948,1,0,0
317011001784,Fire Ridge Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.223045,41.258057,0,0,0,1,496,27,2,2,1443,61,.0213083,.2015948,1,0,0
317011001801,Hillrise Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.227678,41.289978,0,0,0,1,371,15,1,2,1178,64,.039224,.2015948,1,0,0
317011001802,Westridge Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.238382,41.286856,0,0,0,1,338,31,1,2,1178,64,.1483059,.2015948,1,0,0
317011002006,Manchester Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.186072,41.283809,0,0,0,1,521,31,2,4,2358,226,.0504023,.2015948,0,1,0
317011002239,West Dodge Station Elementary,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.204647,41.265634,0,0,0,1,423,15,2,3,1998,81,.0670436,.2015948,0,1,0
317011002277,Sagewood Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.192496,41.303243,0,0,0,1,422,43,2,2,970,76,.2307729,.2015948,0,0,1
317011002292,West Bay Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.211637,41.229381,0,0,0,1,424,26,2,3,2038,80,.0492106,.2015948,0,1,0
317011002337,Arbor View Elementary School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.237788,41.305007,0,0,0,1,336,13,1,1,805,31,.0417337,.2015948,0,0,1
A0302011,St Patrick'S Catholic School,1,3170110,ELKHORN PUBLIC SCHOOLS,Omaha-Council Bluffs NE-IA,31,-96.235691,41.29319,0,1,0,0,469,18,1,3,1514,77,.0598017,.2015948,1,0,0
00851641,St Patrick Academy,1,3305820,Portsmouth School District,Boston-Cambridge-Quincy MA-NH,33,-70.787396,43.043315,0,1,0,0,58,1,2,1,346,16,.2057357,.09404315,0,1,0
330582000373,Mary C. Dondero Elementary School,1,3305820,Portsmouth School District,Boston-Cambridge-Quincy MA-NH,33,-70.768249,43.037882,0,0,0,1,288,15,2,2,622,31,.0586035,.09404315,0,1,0
330582000376,Little Harbour School,1,3305820,Portsmouth School District,Boston-Cambridge-Quincy MA-NH,33,-70.752531,43.066679,0,0,0,1,433,19,2,1,690,36,.2942643,.09404315,0,1,0
330582000377,New Franklin School,1,3305820,Portsmouth School District,Boston-Cambridge-Quincy MA-NH,33,-70.776647,43.077175,0,0,0,1,257,17,2,1,690,36,.4413965,.09404315,0,1,0
02043348,Yavneh Academy,2,3412420,Paramus Public School District,New York-Northern New Jersey-Long Island NY-NJ-PA,34,-74.072559,40.911136,0,1,0,0,296,0,1,1,453,55,.2212257,.46233587,0,1,0
341242000690,West Brook Middle School,2,3412420,Paramus Public School District,New York-Northern New Jersey-Long Island NY-NJ-PA,34,-74.083079,40.961463,0,0,0,1,424,61,2,2,1339,163,.2322824,.46233587,0,1,0
341242000692,East Brook Middle School,2,3412420,Paramus Public School District,New York-Northern New Jersey-Long Island NY-NJ-PA,34,-74.055119,40.930086,0,0,0,1,474,69,1,2,622,81,.2669359,.46233587,0,1,0
A0502266,Ben Porat Yosef,2,3412420,Paramus Public School District,New York-Northern New Jersey-Long Island NY-NJ-PA,34,-74.050361,40.9168,0,1,0,0,93,0,1,2,622,81,.0695067,.46233587,0,1,0
