schid,state,school_name,clean_name,skipped,condition1,condition2,condition3,condition4,condition5
010075002205,Alabama,Central Jr High School Of Clay County,Central Junior High School Of Clay County,,contains ' Jr '
010180000623,Alabama,Martin Luther King Jr Elementary School,Martin Luther King Junior Elementary School,,contains ' Jr '
A9900007,Alabama,St John Paul Ii Catholic High School,St John Paul II Catholic High School,,contains ' Ii '
A0100319,Alabama,Palmerdale Umc Christian School & Children'S Ctr,Palmerdale Umc Christian School & Children'S Center,,ends with 'Ctr'
A1300037,Alabama,Westminster Christian Acad - Lower School Campus,Westminster Christian Academy - Lower School Campus,,contains ' Acad '
00000474,Alabama,St Pius X School,St Pius X School,,contains ' X '
010336001271,Alabama,Martin L King Jr Elementary School,Martin L King Junior Elementary School,,contains ' Jr '
040068001001,Arizona,Richard B Wilson Jr School,Richard B Wilson Junior School,,contains ' Jr '
040150000085,Arizona,Bullhead City Jr High School,Bullhead City Junior High School,,contains ' Jr '
040150001757,Arizona,Fox Creek Jr High School,Fox Creek Junior High School,,contains ' Jr '
040168003122,Arizona,Manuel Pena Jr. School,Manuel Pena Junior. School,,contains ' Jr '
040094703526,Arizona,Asu Preparatory Academy - Casa Grande Hs,Asu Preparatory Academy - Casa Grande High School,,ends with 'Hs'
040187001400,Arizona,John M Andersen Jr High School,John M Andersen Junior High School,,contains ' Jr '
040187002478,Arizona,Willie & Coy Payne Jr. High,Willie & Coy Payne Junior. High,,contains ' Jr '
040232001534,Arizona,Coolidge Jr. High School,Coolidge Junior. High School,,contains ' Jr '
040253000185,Arizona,Paul H Huber Jr High School,Paul H Huber Junior High School,,contains ' Jr '
040324002388,Arizona,Southwest Jr. High School,Southwest Junior. High School,,contains ' Jr '
040340001216,Arizona,Mesquite Jr High School,Mesquite Junior High School,,contains ' Jr '
040340001669,Arizona,Highland Jr High School,Highland Junior High School,,contains ' Jr '
040340002112,Arizona,Desert Ridge Jr. High,Desert Ridge Junior. High,,contains ' Jr '
040340002432,Arizona,South Valley Jr. High,South Valley Junior. High,,contains ' Jr '
040340002777,Arizona,Gilbert Classical Academy Jr.,Gilbert Classical Academy Junior.,,contains ' Jr '
040078702898,Arizona,Kaizen Education Foundation Dba Vista Grove Preparatory Acad,Kaizen Education Foundation Dba Vista Grove Preparatory Academy,,ends with 'Acad'
040014901897,Arizona,Kaizen Education Foundation Dba El Dorado High School,Kaizen Education Foundation Dba El Dorado High School,X,contains ' El '
A0100608,Arizona,St John Xxiii Catholic School Community,St John XXIII Catholic School Community,,contains ' Xxiii '
040021902328,Arizona,Career Success Jr/Sr High School - North Phoenix,Career Success Junior/Senior High School - North Phoenix,,contains ' Jr ',contains ' Sr '
040598001977,Arizona,Wallace Jr High School,Wallace Junior High School,,contains ' Jr '
040658001140,Arizona,Blue Ridge Jr High School,Blue Ridge Junior High School,,contains ' Jr '
040708001880,Arizona,Cloves C Campbell Sr Elementary School,Cloves C Campbell Senior Elementary School,,contains ' Sr '
040880000905,Arizona,W V Whitmore Elementary School,W V Whitmore Elementary School,,contains ' V '
040960000986,Arizona,Gila Vista Jr High School,Gila Vista Junior High School,,contains ' Jr '
040960000994,Arizona,R Pete Woodard Jr High School,R Pete Woodard Junior High School,,contains ' Jr '
050001201285,Arkansas,Riverside East Elem. School,Riverside East Elementary. School,,contains ' Elem '
050001201287,Arkansas,Riverside West Elem. School,Riverside West Elementary. School,,contains ' Elem '
050001701292,Arkansas,Woodrow Wilson Elem. School,Woodrow Wilson Elementary. School,,contains ' Elem '
050002600872,Arkansas,Thirty-Fourth Ave. Elem. Sch.,Thirty-Fourth Ave. Elementary. School.,,contains ' Sch ',contains ' Elem '
050002601338,Arkansas,Jack Robey Jr. High School,Jack Robey Junior. High School,,contains ' Jr '
050004301340,Arkansas,Mountain Home Jr. High School,Mountain Home Junior. High School,,contains ' Jr '
050004400655,Arkansas,Magnolia Jr. High School,Magnolia Junior. High School,,contains ' Jr '
050007000188,Arkansas,Cord-Charlotte Elem. School,Cord-Charlotte Elementary. School,,contains ' Elem '
050041900912,Arkansas,Warren Dupree Elem. School,Warren Dupree Elementary. School,,contains ' Elem '
050041901256,Arkansas,Murrell Taylor Elem. School,Murrell Taylor Elementary. School,,contains ' Elem '
050258000029,Arkansas,L.F. Henderson Interm. Sch.,L.F. Henderson Interm. School.,,contains ' Sch '
050306000076,Arkansas,Thomas Jefferson Elem. School,Thomas Jefferson Elementary. School,,contains ' Elem '
050306000879,Arkansas,Mary Mae Jones Elem. School,Mary Mae Jones Elementary. School,,contains ' Elem '
050315001496,Arkansas,Berryville Intermediate Sch,Berryville Intermediate School,,ends with 'Sch'
050332001578,Arkansas,Blytheville High School-A New Tech School,Blytheville High School-A New Technology School,,contains ' Tech '
050345000339,Arkansas,Booneville Jr High School,Booneville Junior High School,,contains ' Jr '
050369001407,Arkansas,Robert L. Davis Elem. School,Robert L. Davis Elementary. School,,contains ' Elem '
050371001268,Arkansas,Buffalo Is. Central West Elem.,Buffalo Is. Central West Elementary.,,contains ' Elem '
050371001269,Arkansas,Buffalo Is. Central East Elem.,Buffalo Is. Central East Elementary.,,contains ' Elem '
050371001270,Arkansas,Buffalo Is. Central Jhs,Buffalo Is. Central Junior High School,,ends with 'Jhs'
050371001271,Arkansas,Buffalo Is. Central Hs,Buffalo Is. Central High School,,ends with 'Hs'
050375001518,Arkansas,Mountain Springs Elem School,Mountain Springs Elementary School,,contains ' Elem '
050459000081,Arkansas,Theodore Jones Elem. School,Theodore Jones Elementary. School,,contains ' Elem '
050459001183,Arkansas,Julia Lee Moore Elem. School,Julia Lee Moore Elementary. School,,contains ' Elem '
050459001248,Arkansas,Florence Mattison Elem. School,Florence Mattison Elementary. School,,contains ' Elem '
050459001355,Arkansas,Marguerite Vann Elem. School,Marguerite Vann Elementary. School,,contains ' Elem '
050459001486,Arkansas,Woodrow Cummins Elementary Sch,Woodrow Cummins Elementary School,,ends with 'Sch'
050547000258,Arkansas,Drew Central Elem. School,Drew Central Elementary. School,,contains ' Elem '
050568000273,Arkansas,Barton Jr. High School,Barton Junior. High School,,contains ' Jr '
050597000305,Arkansas,Eureka Springs Elem. School,Eureka Springs Elementary. School,,contains ' Elem '
050609001113,Arkansas,Jerry Pop Williams Elem Sch,Jerry Pop Williams Elementary School,,ends with 'Sch',contains ' Elem '
