schoolId,level,districtId,schoolName,distName,msaName,cityName,state,pop,minority_pop,minority_percent,neighbor_minority_percent,sci,type,compareMedian,lon,lat,radiusNeighbors,countNeighbors,allLevels
550960001143,1,5509600,Congress Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,414,404,0.9758454106280193,0.9330708661417323,.0073255,tps,above,-87.978953,43.09893,1,6,1 2
550960001144,1,5509600,Cooper Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,275,120,0.43636363636363634,0.3388030888030888,.009235,tps,below,-87.940857,42.950804,1,2,1 2
550960001146,1,5509600,Curtin Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,196,151,0.7704081632653061,0.8867713004484304,.000359,tps,below,-87.95347,42.982021,1,4,1 2
550960001148,1,5509600,Doerfler Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,388,356,0.9175257731958762,0.9107244723331431,.0047147,tps,above,-87.952188,43.019818,1,9,1 2
550960001154,1,5509600,Eighty-First Street Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,247,209,0.8461538461538461,0.37835420393559926,.0013258,tps,above,-88.013236,43.072906,1,2,1
550960001155,1,5509600,Milwaukee German Immersion,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,519,144,0.2774566473988439,0.6666666666666666,.0252677,tps,below,-88.014227,43.085798,1,5,1
550960001157,1,5509600,Emerson Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,225,189,0.84,0.5563459378509922,.0010761,tps,above,-88.025608,43.097721,1,9,1
550960001158,1,5509600,Engleburg Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,238,218,0.9159663865546218,0.5350785340314136,.0028568,tps,above,-88.025219,43.110978,1,5,1
550960001159,1,5509600,Fairview Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,377,152,0.40318302387267907,0.6112814224402208,.0138493,tps,below,-87.993658,42.991342,1,4,1 2
550960001160,1,5509600,Fernwood Montessori,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,450,121,0.2688888888888889,0.3484224965706447,.0222749,tps,below,-87.880273,42.985914,1,2,1 2
550960001161,1,5509600,Milwaukee Spanish Immersion,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,514,451,0.877431906614786,0.6001483679525222,.0042871,tps,above,-87.98385,42.993905,1,4,1
550960001162,1,5509600,Fifty-Third Street Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,252,230,0.9126984126984127,0.8447154471544716,.0029465,tps,above,-87.978601,43.083495,1,6,1 2
550960001163,1,5509600,Forest Home Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,531,487,0.9171374764595104,0.9467787114845938,.0064328,tps,above,-87.931467,43.010878,1,13,1
550960001164,1,5509600,Meir School,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,282,177,0.6276595744680851,0.8884297520661157,.0043427,tps,below,-87.915406,43.050904,1,6,1 2 3
550960001165,1,5509600,Franklin Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,185,181,0.9783783783783784,0.9689234184239733,.003318,tps,above,-87.941726,43.085064,1,9,1 2
550960001166,1,5509600,Fratney Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,368,306,0.8315217391304348,0.898054996646546,.0014635,tps,above,-87.902115,43.077509,1,5,1
550960001169,1,5509600,Gaenslen Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,455,404,0.8879120879120879,0.8850353243416827,.0042482,tps,above,-87.895045,43.075198,1,4,1 2
550960001170,1,5509600,Barbee Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,203,186,0.916256157635468,0.9642058165548099,.0024422,tps,above,-87.942429,43.098463,1,6,1 2
550960001172,1,5509600,Garland Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,345,107,0.3101449275362319,0.3325490196078431,.0157246,tps,below,-87.95389,42.940124,1,4,1 2
550960001173,1,5509600,Goodrich Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,277,209,0.7545126353790613,0.8537313432835821,.0009259,tps,below,-88.037561,43.166968,1,3,1
550960001174,1,5509600,River Trail Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,235,197,0.8382978723404255,0.6064073226544623,.0010859,tps,above,-88.061669,43.125824,2,7,1 2
550960001175,1,5509600,Grant Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,410,291,0.7097560975609756,0.9186544342507645,.0031146,tps,below,-87.951089,43.005571,1,8,1 2
550960001176,1,5509600,Grantosa Drive Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,358,329,0.9189944134078212,0.5767554479418886,.0044002,tps,above,-88.01295,43.10646,1,5,1 2
550960001178,1,5509600,King Junior Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,164,160,0.975609756097561,0.9359286293592863,.0028982,tps,above,-87.920475,43.087885,1,6,1 2
