geoid,lon1,lat1,lon2,lat2
0400082,-114.690494,34.621082,-114.19235499999999,35.676538
0400450,-112.527734,33.391734,-112.306263,33.551708999999995
0400720,-114.35835900000001,32.590799,-113.333212,33.464656999999995
0401160,-114.731223,33.025383999999995,-113.333078,34.319126
0401410,-113.334436,33.115893,-112.306123,33.551952
0401740,-112.203719,32.506613,-111.566664,33.310533
0403450,-112.237813,33.508801999999996,-112.047805,33.640294
0405070,-112.334536,34.642838,-111.777735,34.981063999999996
0406030,-110.987198,31.332826999999998,-110.45172,31.731817999999997
0406330,-112.237989,33.319384,-111.943192,33.558018
0407530,-111.79265,32.501202,-110.999186,32.850695
0408340,-112.147914,33.204509,-111.874247,33.451464
0408520,-112.375313,33.290369999999996,-112.186393,33.537725
0408910,-109.96374,31.641675,-109.336832,32.050455
0409630,-114.816591,32.038607,-113.333648,33.030046
0629130,-121.688772,39.304938,-121.136412,39.929606
0606005,-123.474001,40.992193,-122.897363,41.491282
0602630,-118.063322,33.790101,-117.863732,33.863745
0618060,-118.1259,33.585792999999995,-117.93069299999999,33.774097999999995
0630250,-122.860766,38.07326,-122.347454,38.357808
0635110,-122.643728,37.936305,-122.382751,38.071714
0638790,-123.083951,37.814947,-122.418673,38.134921999999996
0630210,-117.414803,33.727601,-117.186932,33.808448
0612070,-121.118617,38.502348999999995,-120.113573,38.911732
0606034,-117.266751,33.597839,-117.08359300000001,33.728820999999996
0606035,-117.19139,33.757041,-117.050894,33.903112
0606036,-117.241495,33.699251,-117.0849,33.786784
0642350,-121.589399,38.918348,-121.279528,39.234688999999996
0611820,-121.94417,37.209309,-121.58783199999999,37.426238
0626310,-122.193062,37.304413,-122.03151,37.477838
0614430,-122.166838,37.26471,-121.966801,37.439282
0622800,-122.152675,37.066845,-121.803747,37.28609
0607230,-122.0099,37.221665,-121.88457,37.32991
0606039,-123.127937,38.494127,-122.851338,38.664718
0638730,-119.944194,35.076558999999996,-119.28929099999999,35.572719
0641430,-120.194152,35.439324,-119.24101,35.790414999999996
0621270,-120.419575,37.117764,-120.052055,37.377697999999995
0624660,-120.82354699999999,37.044505,-120.245372,37.633364
0606038,-122.867674,38.583264,-122.623785,38.758783
0640500,-123.078026,39.02285,-122.474541,39.5814
0609810,-122.960147,39.797467999999995,-122.040789,40.04806
0632010,-123.066009,39.959649,-121.322925,40.512913999999995
0614760,-118.046188,33.847013,-117.87991,33.976456999999996
0608160,-117.724509,33.972778999999996,-117.464506,34.296112
0606006,-123.574176,40.705315999999996,-123.346593,41.18011
0606007,-122.974237,41.029933,-122.445453,41.368139
0606025,-122.124793,39.751636999999995,-122.02275399999999,39.800424
0606003,-121.558315,38.699948,-121.414119,38.795321
0606004,-121.493401,38.638307999999995,-121.401275,38.670926
0602670,-123.417449,38.303388,-122.750382,38.632791999999995
0635830,-122.84601599999999,38.350497,-122.479955,38.583422
0621060,-121.025642,40.114843,-119.995598,41.012352
0606026,-119.23354499999999,36.428349,-119.152366,36.514122
0606027,-118.992403,36.293669,-118.100317,36.570964
0606028,-119.152329,36.312847,-118.956395,36.416674
0606029,-119.234089,36.218364,-119.154125,36.283406
0635670,-120.734382,34.682385,-120.019098,35.114217
0635850,-120.417698,34.397552999999995,-119.441348,34.970103
0611700,-122.53977499999999,41.043481,-122.061048,41.249381
0619830,-119.690355,36.390338,-119.385621,36.575645
0634140,-121.51243,36.356454,-120.596904,36.988944
0603030,-124.23409699999999,40.59033,-123.543015,41.465238
0614190,-124.312869,40.340914,-123.54415,40.764997
0607920,-118.37004999999999,33.872854,-118.326484,33.950237
0642510,-118.796842,34.32047,-118.324403,34.616566999999996
0606009,-123.03755,40.48233,-122.692867,40.693539
0606010,-123.110096,40.622011,-122.98132799999999,41.05795
0606011,-122.902974,40.623447,-122.65724399999999,40.839889
0606012,-122.915314,40.802988,-122.522361,41.059107
0608550,-120.545536,36.965745999999996,-120.05442,37.182137
0606053,-121.58099899999999,36.514278,-121.363627,36.645618999999996
0625150,-121.241229,37.575672,-120.802211,37.760940999999995
0606018,-119.90844899999999,36.576203,-119.70931999999999,36.713988
0606016,-119.475973,36.47283,-119.421773,36.524567
0618930,-122.588177,37.568273999999995,-122.251979,37.708431
0636972,-117.66784799999999,34.470181,-117.206436,34.822525999999996
0606019,-120.022978,34.34927,-119.59015600000001,34.52524
0614820,-121.571889,38.116183,-121.006357,38.413052
0626880,-121.279784,39.00516,-120.454944,39.52692
0612910,-117.170469,33.036252999999995,-116.91825299999999,33.237598999999996
0613530,-117.611081,33.256215,-117.09427,33.505024999999996
0616230,-117.06694999999999,32.560297,-116.611082,32.963696
0619110,-116.876649,32.901278,-116.102942,33.256069
0634380,-117.375872,32.904030999999996,-117.14828299999999,33.104147
0638640,-117.135422,32.534175,-116.822006,32.704903
0610860,-119.653226,35.499427,-118.88776899999999,35.935658
0639930,-119.547155,35.905688,-119.187889,36.291464999999995
0606107,-119.268169,35.789161,-117.980761,36.335954
0601650,-122.261265,37.799396,-122.005583,37.949785999999996
0621600,-121.832337,37.769535999999995,-121.534102,38.099878
0608010,-115.843374,32.638709999999996,-115.447989,32.82606
0606020,-121.620511,37.670511999999995,-121.556658,37.818926999999995
0602820,-118.894474,34.380505,-117.655235,34.823302
0606037,-118.117288,34.040673,-118.071587,34.080162
0612120,-118.09084899999999,34.020488,-117.980929,34.113062
0642480,-118.10878,33.916522,-117.975506,34.042701
0606022,-119.16549499999999,34.288388999999995,-119.07360800000001,34.412597
0606023,-119.096096,34.376125,-119.023224,34.562115999999996
0606024,-119.026455,34.359693,-118.97207900000001,34.475826999999995
0605940,-120.793213,37.831858,-120.01995099999999,38.509868999999995
0606017,-119.36793,36.457937,-119.294883,36.58862
0611780,-121.659402,38.734598,-121.414375,38.99819
0638610,-121.945509,38.835653,-121.613,39.245433999999996
0634980,-122.465686,37.463027,-122.186846,37.672430999999996
0636390,-122.345,37.320006,-122.081473,37.592945
0619650,-121.57598300000001,35.79089,-120.477816,36.531926999999996
0633980,-121.808318,36.474888,-121.363317,36.836849
0616500,-119.77450400000001,36.13782,-119.456082,36.445457999999995
0621400,-119.959757,36.049673999999996,-119.726774,36.398728999999996
0630750,-121.238234,38.750288999999995,-120.25456,39.315559
0633630,-121.469946,38.703078999999995,-121.12097,38.824579
0606013,-121.08846299999999,37.39964,-120.857935,37.536829
0606021,-118.790031,37.291084,-118.459349,37.525200000000005
0636940,-123.719174,41.182969,-121.445994,42.008761
0643410,-123.160345,41.438703,-122.130782,42.009502999999995
0606001,-119.81709599999999,37.239667,-119.462399,37.625992
0606002,-120.054629,37.010200000000005,-119.758582,37.402623999999996
0635600,-122.31768199999999,36.8196,-121.8583,37.190035
0636600,-123.068838,40.285374999999995,-121.321074,41.183394
0606033,-121.361537,37.569762,-121.240031,37.725957
0606031,-121.414158,37.710620999999996,-121.280704,37.821861999999996
0606032,-121.55725699999999,37.481783,-121.360916,37.71067
0619540,-119.66041799999999,34.817475,-118.019156,35.792637
0631230,-123.80986,38.574830999999996,-123.126963,39.092141
0605820,-116.10331,32.92655,-115.250803,33.428217
0606014,-120.947932,37.521563,-120.865199,37.567247
0606015,-121.996138,36.957198999999996,-121.913607,37.045272
0602700,-122.633958,40.334137999999996,-122.047348,40.549301
0629270,-119.329216,33.992858,-118.86502899999999,34.343092
0637260,-120.653274,37.689487,-120.247947,38.200077
0638280,-120.324032,37.865463,-119.30458999999999,38.433521
0900005,-72.316782,41.728034,-72.112442,41.959419
0903570,-72.164558,41.652239,-72.01449099999999,41.834947
0903600,-73.51808,41.665802,-73.23295,42.050511
0903630,-72.538782,41.324221,-72.369147,41.433665
0903660,-73.086852,41.244909,-72.93893,41.471159
0903720,-73.263041,41.79804,-72.88705999999999,42.045047
0903750,-72.505431,41.583898999999995,-72.32451,41.76715
0903780,-73.47035699999999,41.21254,-73.23610000000001,41.350235999999995
1313053,-85.008096,32.238622,-84.637323,32.534956
1313215,-84.957962,32.373874,-84.678398,32.551986
1717901,-88.81657,40.93022,-88.62431,41.0628
1732220,-88.79713,40.785900000000005,-88.330483,41.084713
1738100,-88.96089099999999,41.04815,-88.63233199999999,41.243629
1732700,-89.625823,41.163075,-89.271924,41.524119
1741370,-88.81240000000001,38.227354999999996,-88.698961,38.475726
1743200,-89.146265,38.243752,-88.961356,38.447300999999996
1734290,-89.224592,41.770528999999996,-88.887697,42.078838
1725650,-89.256582,41.42914,-88.935255,41.765347
1729730,-89.52160099999999,41.494746,-89.363704,41.628583
1723050,-89.66663,40.037234,-89.123665,40.252147
1719080,-87.922873,42.152293,-87.759002,42.225397
1721780,-87.901579,42.203447,-87.808925,42.304956999999995
1722830,-88.004683,42.211794,-87.88518599999999,42.327819999999996
1727570,-88.121977,42.221024,-87.976913,42.329536999999995
1732580,-88.06293199999999,42.153027,-87.886569,42.242529999999995
1733510,-88.354993,42.414173,-88.189219,42.495180999999995
1740800,-88.00469199999999,42.326271999999996,-87.884208,42.458842
1743890,-87.97222699999999,42.413697,-87.796933,42.494842999999996
1727740,-89.611252,38.212894999999996,-89.07650799999999,38.518605
1735190,-89.032551,38.470078,-88.69752199999999,38.7076
1726180,-88.476697,38.19177,-88.148161,38.468367
1722950,-89.756636,40.552485999999995,-89.63640099999999,40.740798
1704770,-89.66798899999999,38.468464999999995,-89.410279,38.756606
1708370,-89.290201,37.597383,-89.077972,37.848544
1734380,-89.81595999999999,41.656766,-89.572775,41.816008
1704230,-88.040623,40.178663,-87.736108,40.400504
1733240,-88.271045,40.192893999999995,-87.98306,40.400611999999995
1737410,-88.163505,40.05421,-87.922145,40.226306
1724090,-87.921398,41.967034,-87.806045,42.080639
1726880,-87.840593,41.797847,-87.738654,41.86596
1728200,-87.804276,42.063911999999995,-87.679343,42.152473
1728530,-87.80675,41.997232,-87.70866099999999,42.065348
1729010,-87.888268,42.05518,-87.770668,42.152954
1729220,-87.79910199999999,41.711892999999996,-87.721125,41.734862
1729280,-87.834747,41.864976999999996,-87.77413899999999,41.909254
1730450,-88.145101,41.988242,-88.003062,42.153923999999996
1732910,-87.920633,41.826408,-87.803754,41.908561999999996
1733270,-87.800806,41.7335,-87.740928,41.813441999999995
1733420,-87.79279299999999,41.469524,-87.651505,41.558932999999996
1733720,-87.846564,41.952163999999996,-87.78674199999999,41.973948
1734020,-87.865254,41.81655,-87.802612,41.850369
1738940,-87.583306,41.528192,-87.524997,41.644636
1738970,-87.67975,41.557334999999995,-87.55862499999999,41.661733999999996
1730330,-89.01479599999999,41.193304999999995,-88.657697,41.464911
1717903,-88.773321,40.930723,-88.75876699999999,40.939012999999996
1703780,-89.33744899999999,37.334697999999996,-89.041472,37.600469
1740290,-89.071716,37.297486,-88.708546,37.614785999999995
1725770,-89.56389399999999,40.747524999999996,-89.273471,40.883236
