schoolid,lon,lat,population,compareMedian
010039000141,-86.6819859999999949,33.6129109999999969,1433,above
010039000198,-86.7521229999999974,33.5422300000000035,824,above
010051002144,-86.7299050000000023,31.6268400000000014,151,above
010180000633,-86.6094149999999985,34.7993400000000008,715,above
010180000636,-86.5798649999999981,34.7549119999999974,766,above
010180001374,-86.5798649999999981,34.7549119999999974,427,below
010237000962,-88.0865260000000063,30.7142090000000003,878,above
010243000504,-86.2994970000000023,32.3692339999999987,505,above
010243001011,-86.3140599999999978,32.3587500000000006,23,above
010243001417,-86.291175999999993,32.3771150000000034,497,below
010243001457,-86.2199549999999988,32.3197940000000017,558,above
050001900042,-91.6221969999999999,35.7554629999999989,224,below
050789000509,-93.0701430000000016,34.475090999999999,925,above
050900000627,-92.3703650000000067,34.7312549999999973,1086,above
060006404880,-119.027805999999998,36.064858000000001,1932,above
060006408426,-118.977729999999994,36.0682249999999982,1335,above
060162000002,-118.073074000000005,33.8451430000000002,1549,above
060282000203,-118.130300000000005,34.6991900000000015,1821,above
060282004582,-118.189520000000002,34.694665999999998,2307,above
060282009515,-118.175561000000002,34.5917549999999991,2931,above
060282011346,-118.008376999999996,34.5641529999999975,2956,above
061062001177,-121.777175999999997,38.5520830000000032,157,below
061062001178,-121.737960999999999,38.5562960000000032,222,below
061062011541,-121.701784000000004,38.5636590000000012,213,below
061111001226,-116.239665000000002,33.7143269999999973,1910,above
061182001301,-121.829977,37.2931969999999993,1934,above
061182001302,-121.857658999999998,37.3689030000000031,2968,below
061182001303,-121.830783999999994,37.3666049999999999,1137,above
061182001304,-121.807867000000002,37.3462120000000013,1380,above
061182001305,-121.819997000000001,37.2539030000000011,1812,above
061182001306,-121.829947000000004,37.3305179999999979,1449,above
061182001307,-121.851249999999993,37.4016319999999993,2178,below
061182001308,-121.828670000000003,37.235554999999998,2227,below
061182001309,-121.805902000000003,37.3044489999999982,2458,below
061182001310,-121.849307999999994,37.3184350000000009,1788,above
061291013061,-117.104529999999997,33.098905000000002,682,above
061389001568,-121.306275999999997,38.6004250000000013,1692,below
061440001671,-121.966910999999996,37.524954000000001,2253,below
061440001678,-121.935603999999998,37.5448960000000014,2069,below
061455001711,-119.809622000000005,36.8176670000000001,2639,above
061455001723,-119.805800000000005,36.7198610000000016,2553,above
061455001730,-119.804574000000002,36.7670949999999976,2410,above
061455001737,-119.769992000000002,36.8177980000000034,1896,above
