schoolid,lon,lat,population,compareMedian
A0700013,-86.2373209999999943,34.3103300000000004,209,below
00003078,-86.8329209999999989,33.414200000000001,268,below
A0500029,-86.8528210000000058,33.3728839999999991,379,below
AA000153,-86.7952310000000011,33.3883500000000026,53,above
A9900071,-86.739884900000007,34.7335403000000014,449,below
AA890009,-86.7695810000000023,34.7386100000000013,59,below
00000306,-85.8141410000000064,33.7177700000000016,245,below
00001332,-85.7933110000000028,33.6544900000000027,333,below
A9100130,-85.7722810000000067,33.6423800000000028,335,below
00001445,-86.9558501000000064,34.7974569000000003,270,below
00000929,-88.1050197999999938,30.7989333000000016,68,below
A9302021,-88.1021360000000016,30.8013693999999987,255,below
01608811,-86.8234077000000042,33.2637319000000034,362,below
A0770049,-86.8380635000000041,33.2381561999999988,360,below
00003001,-85.4503493999999932,32.6378489000000016,696,below
00002722,-86.5418772999999959,32.4720897999999991,285,below
00000634,-87.6005210000000005,30.4112000000000009,136,below
00000645,-87.903649999999999,30.600441,451,below
00001682,-87.7263439999999974,30.5462670000000003,237,below
00002176,-87.9009410000000031,30.5100200000000008,13,below
A0500005,-87.9111510000000038,30.6022600000000011,680,below
A1170047,-87.7149009999999976,30.40747,31,below
A1192001,-87.7040570000000059,30.4579829999999987,102,below
A9500035,-87.6722122999999982,30.3567615999999987,8,above
AA890010,-87.6700110000000024,30.3538299999999985,35,below
00001853,-86.9810360000000031,33.3801599999999965,20,above
A0100036,-86.9600836000000044,33.393135700000002,14,above
A0700017,-86.9606809999999939,33.4028800000000032,113,above
00001536,-87.120654799999997,32.9769209000000032,126,below
00000146,-86.787672299999997,33.4984970000000004,180,below
00000179,-86.7412209999999959,33.5167000000000002,202,below
00000204,-86.7238009999999946,33.5637499999999989,153,above
00000215,-86.8278908999999999,33.4937862999999965,121,above
00000769,-86.8084347000000065,33.5191824999999994,273,below
00001398,-86.7542983000000021,33.5116167999999988,68,below
00001616,-86.7580410000000057,33.5135500000000022,367,below
00001933,-86.811671000000004,33.4933400000000034,76,above
00003216,-86.8444510000000065,33.4947599999999994,162,above
02000676,-86.8850901999999934,33.4923649999999995,183,above
A0100059,-86.7268210000000011,33.5766800000000032,72,above
A0500036,-86.7266010000000023,33.6311800000000005,9,above
A0509003,-86.736510999999993,33.5157200000000017,62,below
A0900003,-86.6603709999999978,33.4781899999999979,70,below
A0900049,-86.7281610000000001,33.5178900000000013,32,below
A0900084,-86.7979310000000055,33.5022999999999982,14,below
A1300019,-86.862600999999998,33.5311900000000023,10,above
A9500008,-86.7536810000000003,33.5401700000000034,409,above
A9703769,-86.7553709999999967,33.5217600000000005,86,below
A9900042,-86.7093564999999984,33.5998422999999988,38,above
A0100302,-86.4290931000000029,34.0840004000000008,114,below
A0500034,-86.4080199999999934,33.8894120000000001,11,below
A0500013,-85.6982550000000032,32.1426050000000032,90,below
00001897,-86.6413485000000065,31.8361328999999991,481,below
00001693,-85.4065209000000039,32.8730838000000034,183,below
02000279,-85.1786409999999989,32.8042900000000017,29,below
A0500002,-85.1932649999999967,32.8179500000000033,31,below
AA000278,-86.7342309999999941,32.9398100000000014,161,below
01925896,-88.2250520000000051,32.0822059999999993,283,below
01926186,-88.3179939999999988,31.9123149999999995,237,below
A0770089,-87.9087410000000062,31.5384300000000017,203,below
A0500025,-85.8107870000000048,33.2462039999999988,122,below
A9900026,-85.7937649999999934,33.283532000000001,109,below
A0100135,-85.8912009999999953,31.3260499999999986,89,below
A9700032,-85.9022570000000059,31.4244050000000001,102,below
A0300019,-86.2692492000000044,31.6938582000000011,216,below
00000135,-86.8415492000000029,34.1779375999999999,163,below
00001208,-86.8376609999999971,34.1741200000000021,82,below
A0900020,-86.8468110000000024,34.1676799999999972,154,below
A0770032,-85.8323630000000009,34.5137059999999991,275,below
A9900003,-86.0665762000000001,34.280813000000002,45,below
00000124,-86.9985901999999953,34.5322444000000033,102,below
00001944,-86.9982310000000041,34.5364599999999982,404,below
A9900016,-87.0026309999999938,34.548409999999997,89,below
A1100019,-87.844500999999994,32.4985500000000016,40,below
00001503,-85.4490634,31.2440083000000008,567,below
00002802,-85.4385410000000007,31.2007300000000001,368,below
A0100037,-85.3918510000000026,31.2328299999999999,17,above
A9500037,-85.4365910000000071,31.2405100000000005,91,below
00001864,-86.2927889999999991,32.547302000000002,309,below
00002518,-86.3755960000000016,32.5087529999999987,180,below
02000359,-86.3658180000000044,32.5196090000000027,225,below
A0100330,-86.4051879000000014,32.4803055000000001,618,below
A1500002,-86.1060760000000016,32.6164309999999986,99,below
A9700047,-85.8558960000000013,31.3127290000000009,86,below
00001015,-87.4079439000000065,31.0301673999999998,203,below
01608888,-87.5072009999999949,31.0216199999999986,123,below
A0300043,-87.490831,31.0025100000000009,37,below
A0700031,-86.0633509999999973,33.9656299999999973,583,below
00002096,-85.1361287999999945,31.918213999999999,293,below
A0900062,-85.1455990000000043,31.8861039999999996,60,below
A0900055,-86.9246409999999941,33.470010000000002,61,above
A9900066,-86.9146609999999953,33.4909400000000019,277,above
00000973,-87.6586810000000014,34.8470099999999974,513,below
A0100374,-87.6959910000000065,34.8489000000000004,217,below
00000033,-85.9891185000000036,34.0235715999999968,124,above
00001321,-86.014521000000002,34.0143500000000003,50,below
02187186,-86.0491090000000014,33.9918559999999985,216,below
A0300028,-87.9945419999999956,32.9143759999999972,7,above
00002358,-87.5840208999999987,32.6991080000000025,237,below
A1592004,-87.708794999999995,32.711905999999999,5,above
02001126,-86.9233509999999967,34.4620299999999986,68,below
00001026,-85.2616239999999976,31.5770090000000003,218,below
00000088,-86.7963110000000029,33.4758100000000027,336,below
02000574,-86.7972510000000028,33.4797900000000013,108,below
A9900043,-86.7913709999999981,33.4866299999999981,208,below
00000077,-86.5738010000000031,34.6900400000000033,436,below
00000816,-86.5855052000000001,34.7207952999999989,37,below
00001183,-86.5838741999999968,34.6983497000000014,120,below
00001412,-86.6758899999999954,34.7597069999999988,692,below
00001605,-86.5580910000000046,34.7063300000000012,967,below
A0100405,-86.5596369999999951,34.7942740000000015,206,above
A0700018,-86.6588990000000052,34.7547950000000014,343,above
A0900039,-86.611030999999997,34.7391700000000014,22,below
A1100017,-86.5770810000000068,34.6765800000000013,26,below
A9500023,-86.5922029000000038,34.6976715999999996,5,below
A9703741,-86.6008109999999931,34.7682300000000026,132,above
AA890014,-86.6216710000000063,34.7277600000000035,190,below
00003384,-85.5880920000000032,34.8765500000000017,15,below
02000494,-85.6298208999999986,34.9020999000000032,79,below
00001376,-86.8919810000000013,33.5641299999999987,73,below
A0100319,-86.6539939999999973,33.7304940000000002,61,below
A0700015,-86.7967009999999988,33.6293300000000031,12,below
A9900029,-86.8168210000000045,33.6676100000000034,138,below
00002405,-85.2084550000000007,32.8741389999999996,273,below
02000734,-87.3578640000000064,34.4824270000000013,45,below
A9900059,-85.0803850000000068,32.492213999999997,8,below
00000827,-87.7937869999999947,32.2848230000000029,201,below
00000995,-86.612907000000007,32.275857000000002,235,below
00000372,-85.715242399999994,32.421133900000001,63,above
00003271,-86.4903609999999929,34.668059999999997,31,below
A0100214,-86.6926009999999963,34.7449099999999973,116,below
A1300037,-86.7254709999999989,34.7879099999999966,216,below
A1500004,-86.6451610000000017,34.9750000000000014,52,below
A9100122,-86.6848679999999945,34.7560900000000004,88,above
A9900005,-86.6883554000000061,34.7998655000000028,46,below
A0770064,-87.9043240000000026,33.9668109999999999,8,below
00000474,-88.1138990000000035,30.6784573000000016,185,below
00000496,-88.0711809999999957,30.6906800000000004,486,below
00000543,-88.1464277000000038,30.6411887999999983,385,below
00000576,-88.0532577000000032,30.6966260999999996,130,above
00000598,-88.0902009999999933,30.6744200000000014,150,above
00000703,-88.1961461000000071,30.5862732999999984,122,below
00001354,-88.1795410000000004,30.6439100000000018,597,below
00002551,-88.1232152999999983,30.6492323999999989,122,below
00002799,-88.250440999999995,31.1348899999999986,84,below
00003329,-88.2090910000000008,30.651250000000001,22,below
01926073,-88.1874909999999943,30.6823599999999992,464,below
02000927,-88.1801810000000046,30.6589999999999989,169,below
A0100026,-88.1796510000000069,30.6883000000000017,71,below
A0700004,-88.2000809999999973,30.5897800000000011,49,below
A0770128,-88.0831210000000056,30.7241999999999997,26,above
A0792001,-88.0773879999999991,30.7420650000000002,16,above
A0900016,-88.1149350000000027,30.7554389999999991,122,above
A0992002,-88.1892509999999987,30.5445400000000014,400,below
A1170074,-88.1122409999999974,30.6979100000000003,18,above
A1392003,-88.1639389999999992,30.6619610000000016,526,below
A1500006,-88.2231610000000046,30.6513199999999983,17,below
A1500022,-88.0789939999999945,30.6608470000000004,16,above
A1592001,-88.2247129999999942,30.6516990000000007,17,below
A9100128,-88.2448810000000066,30.7022100000000009,1557,below
A9100150,-88.142319999999998,30.646905799999999,525,below
A9100155,-88.2092209999999994,30.6683699999999995,252,below
A9900049,-88.0592410000000001,30.6848400000000012,33,above
AA000956,-88.089068999999995,30.7278389999999995,56,above
00000714,-86.2158110000000022,32.3399100000000033,776,below
00000893,-86.2521409999999946,32.3369900000000001,44,below
00001478,-86.2342409999999973,32.353749999999998,811,below
00001525,-86.1989810000000034,31.9928799999999995,123,below
00001591,-86.2599510000000009,32.3509600000000006,840,below
00002788,-86.215960999999993,32.3892999999999987,771,below
00002835,-86.0124622000000016,32.3023647999999994,277,below
02001057,-86.2364010000000008,32.3825500000000019,15,above
A0100217,-86.1991009999999989,32.3221599999999967,71,below
A0500011,-86.1560309999999987,32.3321699999999979,123,below
A0770112,-86.2504310000000061,32.325330000000001,11,below
A0900053,-86.3034509999999955,32.3576300000000003,70,above
A0900077,-86.2329210000000046,32.3361999999999981,307,above
A0900088,-86.2940320000000014,32.3668899999999979,17,above
A1300005,-86.2847950000000026,32.3723060000000018,83,above
A1390004,-86.2560409999999962,32.3263099999999994,19,above
A1392002,-86.0984710000000035,32.3829100000000025,3,above
A9302022,-86.2876909999999953,32.4243600000000001,75,above
A9700008,-86.2411010000000005,32.3499600000000029,165,below
AA890001,-86.2844867999999963,32.3725774999999985,83,above
AA890008,-86.1968509999999952,32.3316999999999979,145,above
00002507,-85.8690409999999957,33.590049999999998,75,below
00001795,-85.5733062999999987,31.4226512000000007,29,below
A9900037,-85.6566250000000053,31.4391199999999991,56,below
A0100052,-86.350086300000001,33.5938468000000015,69,below
AA890012,-86.318727999999993,33.5994930000000025,332,below
A9100140,-87.3350693000000007,32.6074647000000013,63,below
00000962,-85.0500229999999959,32.537111000000003,485,below
A0100378,-85.0329179999999951,32.4981220000000022,64,below
00002278,-88.090004399999998,33.2529844999999966,240,below
A0300033,-85.9259870000000063,31.8253270000000015,42,above
00002198,-87.0619209999999981,32.4047800000000024,120,below
A0900014,-87.022081,32.4312100000000001,61,below
A1300010,-87.0480909999999994,32.4248100000000008,259,above
A1592002,-87.0480909999999994,32.4248100000000008,256,above
