schoolid,lon,lat,population,compareMedian
040000100616,-111.944768999999994,33.7373159999999999,312,below
040000101872,-111.987520000000004,33.7691209999999984,552,below
040000102344,-111.967336000000003,33.763848000000003,498,below
040000102484,-111.966341,33.7330120000000022,556,below
040003600709,-111.926626999999996,33.7762499999999974,111,below
040075503029,-111.893411,33.745989999999999,88,below
040009001066,-112.494416999999999,34.7883980000000008,117,below
040081503023,-112.479646000000003,34.9075369999999978,73,below
040029902099,-110.269205,31.9702689999999983,34,below
040007401604,-114.027349999999998,35.2224799999999974,297,below
040007401605,-114.025256999999996,35.2224549999999965,326,below
040019001908,-112.155636999999999,33.4945579999999978,216,below
040029002177,-112.124080000000006,33.4939960000000028,379,below
040039602306,-112.133553000000006,33.5233690000000024,118,below
040044502676,-112.100387999999995,33.5109110000000001,184,below
040089103399,-112.130531000000005,33.4852399999999975,220,below
040012601778,-110.952072000000001,32.2651200000000031,74,below
040022302199,-111.016810000000007,32.3083540000000014,307,below
040040902406,-110.961485999999994,32.2745279999999966,111,below
040090503419,-110.944461000000004,32.4094399999999965,743,below
040023503157,-111.554107000000002,33.4050709999999995,273,below
040028203457,-112.379407999999998,33.451985999999998,146,below
040060903117,-112.341560999999999,33.4372389999999982,359,below
040078002928,-112.336787999999999,33.4435539999999989,552,below
040080003288,-112.436300000000003,33.4440000000000026,675,below
040088503410,-112.408765000000003,33.4552610000000001,221,below
040094303498,-112.433206999999996,33.4393310000000028,406,below
040077602387,-111.977200999999994,33.4651100000000028,148,below
040080003211,-112.574636999999996,33.3876490000000032,722,below
040001602443,-110.290171000000001,31.55762,290,below
040063203105,-110.245440000000002,31.5650499999999994,175,below
040041302411,-114.625594000000007,35.101106999999999,336,below
040041302986,-114.546280999999993,35.1582300000000032,133,below
040013002569,-111.856081000000003,34.5595399999999984,107,below
040012201585,-112.224721000000002,33.4956200000000024,280,below
040040201860,-112.202849000000001,33.4958510000000018,114,below
040043802653,-112.204826999999995,33.4672389999999993,749,below
040079803021,-112.202651000000003,33.4908000000000001,534,below
040087503345,-112.095432000000002,33.494532999999997,346,below
040091603437,-112.174051000000006,33.4932950000000034,212,below
040094003499,-112.202391000000006,33.5085199999999972,295,below
040080003368,-111.720360999999997,32.8828299999999985,339,below
040089203012,-111.732415000000003,32.9012359999999973,811,below
040006502685,-111.683653000000007,33.2405180000000016,612,below
040007100832,-111.874099000000001,33.3085080000000033,293,below
040063103103,-111.672692999999995,33.2116109999999978,48,below
040083003253,-111.810376000000005,33.3070769999999996,122,below
040083403244,-111.857601000000003,33.3340099999999993,519,below
040085503275,-111.787960999999996,33.2601700000000022,856,below
040086703342,-111.756274000000005,33.2752630000000025,301,below
040092503464,-111.789771999999999,33.273775999999998,503,below
040093603484,-111.842757000000006,33.2346009999999978,444,below
040011203279,-111.590536999999998,33.1941849999999974,526,below
040040301989,-111.579468000000006,33.0314059999999969,14,below
040040401993,-111.579468000000006,33.0314059999999969,140,below
040043202200,-112.071130999999994,33.4762100000000018,1462,below
040074602864,-111.615224999999995,33.1752010000000013,1408,below
040076602901,-111.538521000000003,32.9894099999999995,512,below
040084503242,-111.617790999999997,33.1986199999999982,262,below
040013001803,-112.004473000000004,34.7323990000000009,130,below
040032802228,-112.009435999999994,34.7352190000000007,55,below
040043902644,-111.887921000000006,34.7171499999999966,118,below
040012801715,-112.003652000000002,33.4534159999999972,80,below
040021902338,-112.013306999999998,33.4845189999999988,126,below
040041602374,-112.005110999999999,33.4648299999999992,80,below
040093803476,-112.029661000000004,33.477330000000002,83,below
040001601942,-109.547415000000001,31.3369929999999997,293,below
040001602442,-109.552012000000005,31.3490520000000004,67,below
040019003247,-109.527258000000003,31.3737269999999988,147,below
040028402095,-109.532578999999998,31.3488199999999999,254,below
040024102029,-112.395212999999998,33.6323269999999965,849,below
040031002370,-112.397730999999993,33.6179399999999973,514,below
040032602162,-112.341577000000001,33.6298590000000033,445,below
040042402526,-112.377927999999997,33.5934400000000011,420,below
040093303496,-112.385721000000004,33.6033329999999992,950,below
040001800496,-111.666653999999994,35.1917839999999984,181,below
040002001179,-111.631428999999997,35.2004659999999987,182,below
040009601174,-111.669208999999995,35.1625689999999977,195,below
040009801180,-111.645437999999999,35.2127010000000027,181,below
