schoolid,lon,lat,population,compareMedian
A0700013,-86.2373209999999943,34.3103300000000004,209,below
00003078,-86.8329209999999989,33.414200000000001,268,below
AA000153,-86.7952310000000011,33.3883500000000026,53,above
AA890009,-86.7695810000000023,34.7386100000000013,59,below
00000306,-85.8141410000000064,33.7177700000000016,245,below
00001332,-85.7933110000000028,33.6544900000000027,333,below
A9100130,-85.7722810000000067,33.6423800000000028,335,below
00001445,-86.9558501000000064,34.7974569000000003,270,below
01608811,-86.8234077000000042,33.2637319000000034,362,below
A0770049,-86.8380635000000041,33.2381561999999988,360,below
A1300009,-86.8255769999999956,33.2183100000000025,66,below
00003001,-85.4503493999999932,32.6378489000000016,696,below
00002722,-86.5418772999999959,32.4720897999999991,285,below
00001682,-87.7263439999999974,30.5462670000000003,237,below
A0500005,-87.9111510000000038,30.6022600000000011,680,below
A1170047,-87.7149009999999976,30.40747,31,below
A1192001,-87.7040570000000059,30.4579829999999987,102,below
AA890010,-87.6700110000000024,30.3538299999999985,35,below
00001536,-87.120654799999997,32.9769209000000032,126,below
00000237,-86.8812429999999978,33.5100800000000021,255,above
00001616,-86.7580410000000057,33.5135500000000022,367,below
00001933,-86.811671000000004,33.4933400000000034,76,above
00003216,-86.8444510000000065,33.4947599999999994,162,above
02000676,-86.8850901999999934,33.4923649999999995,183,above
A0100027,-86.7885610000000014,33.4988799999999998,23,below
A0500036,-86.7266010000000023,33.6311800000000005,9,above
A0509003,-86.736510999999993,33.5157200000000017,62,below
A0900003,-86.6603709999999978,33.4781899999999979,70,below
A0900084,-86.7979310000000055,33.5022999999999982,14,below
A1300027,-86.8540409999999952,33.4806400000000011,7,above
A9500008,-86.7536810000000003,33.5401700000000034,409,above
A9700022,-86.7382999999999953,33.5495969999999986,22,above
A9900068,-86.757750999999999,33.54589,12,above
A0100302,-86.4290931000000029,34.0840004000000008,114,below
A0500034,-86.4080199999999934,33.8894120000000001,11,below
A0500013,-85.6982550000000032,32.1426050000000032,90,below
00001897,-86.6413485000000065,31.8361328999999991,481,below
00001693,-85.4065209000000039,32.8730838000000034,183,below
02000279,-85.1786409999999989,32.8042900000000017,29,below
A0500002,-85.1932649999999967,32.8179500000000033,31,below
AA000278,-86.7342309999999941,32.9398100000000014,161,below
01925896,-88.2250520000000051,32.0822059999999993,283,below
01926186,-88.3179939999999988,31.9123149999999995,237,below
A0770089,-87.9087410000000062,31.5384300000000017,203,below
A0500025,-85.8107870000000048,33.2462039999999988,122,below
A9900026,-85.7937649999999934,33.283532000000001,109,below
A0100135,-85.8912009999999953,31.3260499999999986,89,below
A9700032,-85.9022570000000059,31.4244050000000001,102,below
A0300019,-86.2692492000000044,31.6938582000000011,216,below
02113067,-86.8162310000000019,34.1736099999999965,212,below
A0900020,-86.8468110000000024,34.1676799999999972,154,below
A0770032,-85.8323630000000009,34.5137059999999991,275,below
A9900003,-86.0665762000000001,34.280813000000002,45,below
00001944,-86.9982310000000041,34.5364599999999982,404,below
A9900016,-87.0026309999999938,34.548409999999997,89,below
00001503,-85.4490634,31.2440083000000008,567,below
00002802,-85.4385410000000007,31.2007300000000001,368,below
00001864,-86.2927889999999991,32.547302000000002,309,below
00002518,-86.3755960000000016,32.5087529999999987,180,below
02000359,-86.3658180000000044,32.5196090000000027,225,below
A0100330,-86.4051879000000014,32.4803055000000001,618,below
A1500002,-86.1060760000000016,32.6164309999999986,99,below
00001015,-87.4079439000000065,31.0301673999999998,203,below
01608888,-87.5072009999999949,31.0216199999999986,123,below
A0300043,-87.490831,31.0025100000000009,37,below
A0700031,-86.0633509999999973,33.9656299999999973,583,below
00002096,-85.1361287999999945,31.918213999999999,293,below
A9900066,-86.9146609999999953,33.4909400000000019,277,above
00000973,-87.6586810000000014,34.8470099999999974,513,below
A0100374,-87.6959910000000065,34.8489000000000004,217,below
00001321,-86.014521000000002,34.0143500000000003,50,below
02187186,-86.0491090000000014,33.9918559999999985,216,below
00002358,-87.5840208999999987,32.6991080000000025,237,below
02001126,-86.9233509999999967,34.4620299999999986,68,below
00001026,-85.2616239999999976,31.5770090000000003,218,below
00000226,-86.802141000000006,33.4582199999999972,588,below
A9900043,-86.7913709999999981,33.4866299999999981,208,below
00000816,-86.5855052000000001,34.7207952999999989,37,below
00001183,-86.5838741999999968,34.6983497000000014,120,below
00001412,-86.6758899999999954,34.7597069999999988,692,below
00001605,-86.5580910000000046,34.7063300000000012,967,below
A0100405,-86.5596369999999951,34.7942740000000015,206,above
A0700018,-86.6588990000000052,34.7547950000000014,343,above
A0900063,-86.5864710000000031,34.7204499999999996,198,above
A1100017,-86.5770810000000068,34.6765800000000013,26,below
AA890014,-86.6216710000000063,34.7277600000000035,190,below
00003384,-85.5880920000000032,34.8765500000000017,15,below
02000494,-85.6298208999999986,34.9020999000000032,79,below
A0700015,-86.7967009999999988,33.6293300000000031,12,below
00002405,-85.2084550000000007,32.8741389999999996,273,below
02000734,-87.3578640000000064,34.4824270000000013,45,below
A1500035,-86.9508579999999967,34.9870590000000021,30,below
00000827,-87.7937869999999947,32.2848230000000029,201,below
00000995,-86.612907000000007,32.275857000000002,235,below
00003271,-86.4903609999999929,34.668059999999997,31,below
A0100214,-86.6926009999999963,34.7449099999999973,116,below
A1500025,-86.4406209999999931,34.5797900000000027,41,below
A9900005,-86.6883554000000061,34.7998655000000028,46,below
A9900007,-86.6951509999999956,34.7099899999999977,376,below
A0770064,-87.9043240000000026,33.9668109999999999,8,below
00001354,-88.1795410000000004,30.6439100000000018,597,below
00002799,-88.250440999999995,31.1348899999999986,84,below
01925841,-88.0729709999999955,30.6888700000000014,1185,below
A0100026,-88.1796510000000069,30.6883000000000017,71,below
A0792001,-88.0773879999999991,30.7420650000000002,16,above
A0992002,-88.1892509999999987,30.5445400000000014,400,below
A1392003,-88.1639389999999992,30.6619610000000016,526,below
A9100128,-88.2448810000000066,30.7022100000000009,1557,below
A9100150,-88.142319999999998,30.646905799999999,525,below
00000714,-86.2158110000000022,32.3399100000000033,776,below
00001478,-86.2342409999999973,32.353749999999998,811,below
00001525,-86.1989810000000034,31.9928799999999995,123,below
00001591,-86.2599510000000009,32.3509600000000006,840,below
00002788,-86.215960999999993,32.3892999999999987,771,below
00002835,-86.0124622000000016,32.3023647999999994,277,below
A0500011,-86.1560309999999987,32.3321699999999979,123,below
A0770112,-86.2504310000000061,32.325330000000001,11,below
A0900077,-86.2329210000000046,32.3361999999999981,307,above
A1390004,-86.2560409999999962,32.3263099999999994,19,above
A9700008,-86.2411010000000005,32.3499600000000029,165,below
AA890008,-86.1968509999999952,32.3316999999999979,145,above
A1500033,-85.4295309999999972,32.6426700000000025,114,below
00002507,-85.8690409999999957,33.590049999999998,75,below
00001795,-85.5733062999999987,31.4226512000000007,29,below
A9900037,-85.6566250000000053,31.4391199999999991,56,below
A0100052,-86.350086300000001,33.5938468000000015,69,below
AA890012,-86.318727999999993,33.5994930000000025,332,below
A9100140,-87.3350693000000007,32.6074647000000013,63,below
00000962,-85.0500229999999959,32.537111000000003,485,below
00002278,-88.090004399999998,33.2529844999999966,240,below
A0300033,-85.9259870000000063,31.8253270000000015,42,above
00002198,-87.0619209999999981,32.4047800000000024,120,below
A0900014,-87.022081,32.4312100000000001,61,below
A1300010,-87.0480909999999994,32.4248100000000008,259,above
A1592002,-87.0480909999999994,32.4248100000000008,256,above
00001401,-86.7713480000000033,33.3403780000000012,297,below
00001729,-86.4302679999999981,33.3351350000000011,228,below
A0770139,-86.7066410000000047,33.3760800000000018,548,below
A1300015,-86.7837420000000037,33.147350000000003,15,below
A1500029,-86.7905640000000034,33.3483700000000027,54,below
A9900006,-86.3284249999999958,33.7560479999999998,19,below
00000984,-88.2515795999999995,32.5320937999999984,160,below
A0100219,-86.0867740000000055,33.4335370000000012,49,above
00002154,-85.6607819999999975,32.8026660000000021,88,below
00000044,-87.5291179999999969,33.1737090000000023,229,below
00001558,-87.5406810000000064,33.2441400000000016,406,below
02001272,-87.5072109999999981,33.1990399999999966,923,below
A9500031,-87.5750610000000052,33.2071699999999979,191,below
01642488,-87.4498909999999938,33.1940000000000026,341,below
01926233,-86.7608029999999957,33.4173350000000013,1830,below
A9300011,-87.0487810000000053,33.747242,346,below
01925943,-87.3061990000000066,32.0029389999999978,237,below
A0500061,-111.955791000000005,33.789439999999999,33,below
A9700085,-110.291242999999994,31.9509949999999989,11,below
00031425,-112.127761000000007,33.5047300000000021,390,above
A9900129,-112.151156,33.5212799999999973,100,below
A0100609,-110.963631000000007,32.3779400000000024,651,below
A0100657,-110.303961000000001,31.5613700000000002,108,below
A0992003,-111.738301000000007,32.9682000000000031,49,below
00031491,-111.878670999999997,33.3232599999999977,595,below
00032859,-111.879690999999994,33.2744399999999985,276,below
A0300076,-114.644920999999997,32.6778499999999994,338,above
00032145,-111.998420999999993,33.5156899999999993,717,below
A0900124,-111.389701000000002,33.0315099999999973,18,below
00032134,-111.035201000000001,32.3169299999999993,103,below
A0500052,-111.804741000000007,33.3338400000000021,45,above
A9700116,-111.712031999999994,33.326712999999998,744,below
02003327,-111.959830999999994,33.3134399999999999,388,below
A0100502,-111.975351000000003,33.3348799999999983,143,below
A1500076,-111.937747000000002,33.3054839999999999,21,below
A0900160,-112.348911000000001,33.5324700000000036,31,below
A1170278,-112.065680999999998,33.5317000000000007,36,below
A1500117,-112.063861000000003,33.537939999999999,21,below
A9100470,-112.082446000000005,33.5128640000000004,164,below
00032101,-112.071240000000003,34.4320519999999988,72,below
A0900156,-112.166940999999994,34.3462499999999977,61,below
A0500092,-111.889311000000006,33.4106499999999969,130,above
A1100039,-111.847441000000003,33.3399799999999971,35,below
A9100335,-111.688101000000003,33.4216899999999981,115,below
A9500142,-111.791590999999997,33.4286299999999983,72,below
00030873,-110.919280999999998,31.3569299999999984,308,above
00031265,-112.067531000000003,33.505110000000002,1206,below
00031414,-112.071421000000001,33.5046899999999965,1391,below
00031731,-112.096650999999994,33.4940599999999975,384,above
00031695,-112.029370999999998,33.5953799999999987,314,below
00032677,-111.979050999999998,33.6173700000000011,758,below
A0300058,-111.926421000000005,33.5989700000000013,10,below
A9500134,-111.307120999999995,34.2329399999999993,82,below
A0700053,-112.215991000000003,33.6137200000000007,9,below
A1500073,-112.234761000000006,33.6094599999999986,46,below
00031301,-112.068301000000005,33.4752900000000011,543,above
A9100286,-111.649090999999999,33.2631900000000016,347,above
01926277,-112.118571000000003,33.3908300000000011,189,below
A9700074,-112.037661,33.3792100000000005,145,above
A0300071,-111.871100999999996,33.6390000000000029,898,below
A0900126,-111.905771000000001,33.5744350000000011,57,below
A0900159,-111.910221000000007,33.4594799999999992,109,below
A1390007,-111.930971,33.5827400000000012,14,below
A1500092,-111.914071000000007,33.4616400000000027,40,below
A0304001,-112.145571000000004,33.6627900000000011,131,below
A0700047,-112.229421000000002,33.646250000000002,31,below
